Line_no:1:	https://rfam.org/family/RF00005#tabview=tab6
5J88	AA	Bacterial small subunit ribosomal RNA
5JU8	AA	Bacterial small subunit ribosomal RNA
5LMT	A	Bacterial small subunit ribosomal RNA
6DZK	A	Bacterial small subunit ribosomal RNA
7RQD	2a	Bacterial small subunit ribosomal RNA
1VVJ	QA	Bacterial small subunit ribosomal RNA
4V4G	AA	Bacterial small subunit ribosomal RNA
4V6Y	AA	Bacterial small subunit ribosomal RNA
4WRO	13	Bacterial small subunit ribosomal RNA
6BOH	FB	Bacterial small subunit ribosomal RNA
6X7K	D	Bacterial small subunit ribosomal RNA
7BOI	A	Bacterial small subunit ribosomal RNA
7PAL	5	Bacterial small subunit ribosomal RNA
4B3T	A	Bacterial small subunit ribosomal RNA
4K0K	A	Bacterial small subunit ribosomal RNA
4V8J	AA	Bacterial small subunit ribosomal RNA
4WPO	BA	Bacterial small subunit ribosomal RNA
5MYJ	AA	Bacterial small subunit ribosomal RNA
5WIT	2a	Bacterial small subunit ribosomal RNA
6OFX	3	Bacterial small subunit ribosomal RNA
6ORD	QA	Bacterial small subunit ribosomal RNA
6XHW	1a	Bacterial small subunit ribosomal RNA
7JT1	3	Bacterial small subunit ribosomal RNA
7O19	AA	Bacterial small subunit ribosomal RNA
7PNZ	A	Bacterial small subunit ribosomal RNA
7QI4	AA	Bacterial small subunit ribosomal RNA
4DV2	A	Bacterial small subunit ribosomal RNA
4V6R	AA	Bacterial small subunit ribosomal RNA
4V9C	CA	Bacterial small subunit ribosomal RNA
4WQU	BA	Bacterial small subunit ribosomal RNA
4ZER	2a	Bacterial small subunit ribosomal RNA
5MDW	2	Bacterial small subunit ribosomal RNA
5TCU	A	Bacterial small subunit ribosomal RNA
6BUW	XA	Bacterial small subunit ribosomal RNA
6W77	A	Bacterial small subunit ribosomal RNA
6X7F	D	Bacterial small subunit ribosomal RNA
6XHY	2a	Bacterial small subunit ribosomal RNA
4JI4	A	Bacterial small subunit ribosomal RNA
4V61	AA	Bacterial small subunit ribosomal RNA
5FDV	2a	Bacterial small subunit ribosomal RNA
5MMJ	a	Bacterial small subunit ribosomal RNA
5X8P	a	Bacterial small subunit ribosomal RNA
7N2C	16	Bacterial small subunit ribosomal RNA
7NAS	A	Bacterial small subunit ribosomal RNA
7P7R	a	Bacterial small subunit ribosomal RNA
7QV3	a	Bacterial small subunit ribosomal RNA
8CVK	1a	Bacterial small subunit ribosomal RNA
1VY4	AA	Bacterial small subunit ribosomal RNA
3T1Y	A	Bacterial small subunit ribosomal RNA
4L47	QA	Bacterial small subunit ribosomal RNA
4LF8	A	Bacterial small subunit ribosomal RNA
4Y4P	2a	Bacterial small subunit ribosomal RNA
4ZSN	XA	Bacterial small subunit ribosomal RNA
5J4C	2a	Bacterial small subunit ribosomal RNA
5ND8	a	Bacterial small subunit ribosomal RNA
6ORE	2	Bacterial small subunit ribosomal RNA
6OSQ	2	Bacterial small subunit ribosomal RNA
6YSR	a	Bacterial small subunit ribosomal RNA
7PIP	5	Bacterial small subunit ribosomal RNA
3J2F	N	Bacterial small subunit ribosomal RNA
4V4Y	AA	Bacterial small subunit ribosomal RNA
4V7P	AA	Bacterial small subunit ribosomal RNA
5LMO	A	Bacterial small subunit ribosomal RNA
6GZZ	A4	Bacterial small subunit ribosomal RNA
6VWN	1	Bacterial small subunit ribosomal RNA
7RQ9	1a	Bacterial small subunit ribosomal RNA
7UNW	a	Bacterial small subunit ribosomal RNA
4V71	AA	Bacterial small subunit ribosomal RNA
4V9N	AA	Bacterial small subunit ribosomal RNA
5BR8	A	Bacterial small subunit ribosomal RNA
6OJ2	QA	Bacterial small subunit ribosomal RNA
6VYX	D	Bacterial small subunit ribosomal RNA
6Z1P	Bb	Bacterial small subunit ribosomal RNA
7QV2	a	Bacterial small subunit ribosomal RNA
7S1K	C	Bacterial small subunit ribosomal RNA
8EKC	a	Bacterial small subunit ribosomal RNA
4V56	CA	Bacterial small subunit ribosomal RNA
4V6F	BA	Bacterial small subunit ribosomal RNA
5IBB	13	Bacterial small subunit ribosomal RNA
6VLZ	AA	Bacterial small subunit ribosomal RNA
2UUB	A	Bacterial small subunit ribosomal RNA
4P70	QA	Bacterial small subunit ribosomal RNA
4V4H	CA	Bacterial small subunit ribosomal RNA
4V5A	AA	Bacterial small subunit ribosomal RNA
4V6G	AA	Bacterial small subunit ribosomal RNA
4V7K	Ba	Bacterial small subunit ribosomal RNA
4V95	CA	Bacterial small subunit ribosomal RNA
5AJ4	AA	Bacterial small subunit ribosomal RNA
5LMV	A	Bacterial small subunit ribosomal RNA
6WDH	3	Bacterial small subunit ribosomal RNA
6ZTO	AA	Bacterial small subunit ribosomal RNA
7JT2	3	Bacterial small subunit ribosomal RNA
4WPO	DA	Bacterial small subunit ribosomal RNA
5UYM	A	Bacterial small subunit ribosomal RNA
7PJS	a	Bacterial small subunit ribosomal RNA
1ZC8	Z	Bacterial small subunit ribosomal RNA
4ADV	A	Bacterial small subunit ribosomal RNA
6CFJ	2a	Bacterial small subunit ribosomal RNA
6MPF	A	Bacterial small subunit ribosomal RNA
6ND5	2a	Bacterial small subunit ribosomal RNA
6OJ2	XA	Bacterial small subunit ribosomal RNA
7P7U	a	Bacterial small subunit ribosomal RNA
8CSS	A	Bacterial small subunit ribosomal RNA
4V7J	Aa	Bacterial small subunit ribosomal RNA
4WQ1	1G	Bacterial small subunit ribosomal RNA
6CZR	2a	Bacterial small subunit ribosomal RNA
7PJU	a	Bacterial small subunit ribosomal RNA
4V87	CA	Bacterial small subunit ribosomal RNA
4V95	AA	Bacterial small subunit ribosomal RNA
4V9O	FA	Bacterial small subunit ribosomal RNA
4WOI	AA	Bacterial small subunit ribosomal RNA
4WQY	BA	Bacterial small subunit ribosomal RNA
5MDV	2	Bacterial small subunit ribosomal RNA
5T7V	A	Bacterial small subunit ribosomal RNA
5VP2	1a	Bacterial small subunit ribosomal RNA
6CZR	1a	Bacterial small subunit ribosomal RNA
4V5B	BA	Bacterial small subunit ribosomal RNA
4V5Q	CA	Bacterial small subunit ribosomal RNA
4V75	AA	Bacterial small subunit ribosomal RNA
4Z8C	1a	Bacterial small subunit ribosomal RNA
5U4J	a	Bacterial small subunit ribosomal RNA
5UQ7	a	Bacterial small subunit ribosomal RNA
6NDK	XA	Bacterial small subunit ribosomal RNA
6OM6	2	Bacterial small subunit ribosomal RNA
6V3B	sN1	Bacterial small subunit ribosomal RNA
7OIZ	A	Bacterial small subunit ribosomal RNA
7PAJ	5	Bacterial small subunit ribosomal RNA
7RYG	a	Bacterial small subunit ribosomal RNA
7SFR	a	Bacterial small subunit ribosomal RNA
1MVR	B	Bacterial small subunit ribosomal RNA
4DV3	A	Bacterial small subunit ribosomal RNA
4V69	AA	Bacterial small subunit ribosomal RNA
5UYQ	A	Bacterial small subunit ribosomal RNA
6WD0	3	Bacterial small subunit ribosomal RNA
6XQE	2a	Bacterial small subunit ribosomal RNA
7K00	A	Bacterial small subunit ribosomal RNA
7SSD	3	Bacterial small subunit ribosomal RNA
4LEL	XA	Bacterial small subunit ribosomal RNA
4WWW	QA	Bacterial small subunit ribosomal RNA
7JQL	1a	Bacterial small subunit ribosomal RNA
7U2H	1a	Bacterial small subunit ribosomal RNA
3J2G	N	Bacterial small subunit ribosomal RNA
4DUZ	A	Bacterial small subunit ribosomal RNA
4V6N	BA	Bacterial small subunit ribosomal RNA
4V8X	AA	Bacterial small subunit ribosomal RNA
5ZLU	G	Bacterial small subunit ribosomal RNA
6OTR	QA	Bacterial small subunit ribosomal RNA
6S0X	a	Bacterial small subunit ribosomal RNA
7JQM	2a	Bacterial small subunit ribosomal RNA
7PHB	5	Bacterial small subunit ribosomal RNA
8CSU	A	Bacterial small subunit ribosomal RNA
4V63	CA	Bacterial small subunit ribosomal RNA
4V9B	AA	Bacterial small subunit ribosomal RNA
4YPB	QA	Bacterial small subunit ribosomal RNA
5D8B	UC	Bacterial small subunit ribosomal RNA
5H5U	h	Bacterial small subunit ribosomal RNA
6ENU	a	Bacterial small subunit ribosomal RNA
7DUL	A	Bacterial small subunit ribosomal RNA
7U2J	2a	Bacterial small subunit ribosomal RNA
4JI7	A	Bacterial small subunit ribosomal RNA
4LSK	XA	Bacterial small subunit ribosomal RNA
4U1V	AA	Bacterial small subunit ribosomal RNA
4V84	CA	Bacterial small subunit ribosomal RNA
6XHX	1a	Bacterial small subunit ribosomal RNA
6YST	a	Bacterial small subunit ribosomal RNA
2UUC	A	Bacterial small subunit ribosomal RNA
2ZM6	A	Bacterial small subunit ribosomal RNA
4V54	AA	Bacterial small subunit ribosomal RNA
5AFI	a	Bacterial small subunit ribosomal RNA
5LI0	a	Bacterial small subunit ribosomal RNA
6GZQ	A2	Bacterial small subunit ribosomal RNA
6O8X	a	Bacterial small subunit ribosomal RNA
6VYQ	D	Bacterial small subunit ribosomal RNA
7AFD	1	Bacterial small subunit ribosomal RNA
7ASO	X	Bacterial small subunit ribosomal RNA
8APN	B4	Bacterial small subunit ribosomal RNA
1N32	A	Bacterial small subunit ribosomal RNA
3OTO	A	Bacterial small subunit ribosomal RNA
4V8G	CA	Bacterial small subunit ribosomal RNA
4W2F	AA	Bacterial small subunit ribosomal RNA
7AFH	1	Bacterial small subunit ribosomal RNA
7OJ0	A	Bacterial small subunit ribosomal RNA
7PAI	5	Bacterial small subunit ribosomal RNA
7PAM	5	Bacterial small subunit ribosomal RNA
8D8K	a	Bacterial small subunit ribosomal RNA
3J2E	N	Bacterial small subunit ribosomal RNA
4LF6	A	Bacterial small subunit ribosomal RNA
4V4G	CA	Bacterial small subunit ribosomal RNA
4V6E	CA	Bacterial small subunit ribosomal RNA
4V8I	AA	Bacterial small subunit ribosomal RNA
5J4D	FB	Bacterial small subunit ribosomal RNA
7QG8	0	Bacterial small subunit ribosomal RNA
8EKB	1a	Bacterial small subunit ribosomal RNA
3JCD	a	Bacterial small subunit ribosomal RNA
4LT8	XA	Bacterial small subunit ribosomal RNA
5LZD	a	Bacterial small subunit ribosomal RNA
6OT3	2	Bacterial small subunit ribosomal RNA
6ZSC	AA	Bacterial small subunit ribosomal RNA
7ABZ	2	Bacterial small subunit ribosomal RNA
7DUG	A	Bacterial small subunit ribosomal RNA
5IB7	1G	Bacterial small subunit ribosomal RNA
5VPP	XA	Bacterial small subunit ribosomal RNA
6VYS	D	Bacterial small subunit ribosomal RNA
6WDL	3	Bacterial small subunit ribosomal RNA
1HNW	A	Bacterial small subunit ribosomal RNA
4U1U	AA	Bacterial small subunit ribosomal RNA
4V57	AA	Bacterial small subunit ribosomal RNA
4W2G	CA	Bacterial small subunit ribosomal RNA
5J7L	AA	Bacterial small subunit ribosomal RNA
5MDY	2	Bacterial small subunit ribosomal RNA
6X9Q	D	Bacterial small subunit ribosomal RNA
6ZSB	AA	Bacterial small subunit ribosomal RNA
7SS9	3	Bacterial small subunit ribosomal RNA
3J28	N	Bacterial small subunit ribosomal RNA
4V8C	DA	Bacterial small subunit ribosomal RNA
4V8N	AA	Bacterial small subunit ribosomal RNA
4W4G	QA	Bacterial small subunit ribosomal RNA
5AJ3	A	Bacterial small subunit ribosomal RNA
5WNR	A	Bacterial small subunit ribosomal RNA
6C4I	a	Bacterial small subunit ribosomal RNA
6HA8	a	Bacterial small subunit ribosomal RNA
6NEQ	A	Bacterial small subunit ribosomal RNA
6NU2	AA	Bacterial small subunit ribosomal RNA
6V39	sN1	Bacterial small subunit ribosomal RNA
6W7W	2	Bacterial small subunit ribosomal RNA
3J9Y	a	Bacterial small subunit ribosomal RNA
4LF4	A	Bacterial small subunit ribosomal RNA
4V52	AA	Bacterial small subunit ribosomal RNA
6VYT	D	Bacterial small subunit ribosomal RNA
1XNQ	A	Bacterial small subunit ribosomal RNA
4V47	BA	Bacterial small subunit ribosomal RNA
4V6M	AA	Bacterial small subunit ribosomal RNA
5IT8	BA	Bacterial small subunit ribosomal RNA
5UZ4	A	Bacterial small subunit ribosomal RNA
6OF6	QA	Bacterial small subunit ribosomal RNA
6YT9	2	Bacterial small subunit ribosomal RNA
1X1L	A	Bacterial small subunit ribosomal RNA
4LF9	A	Bacterial small subunit ribosomal RNA
4U1U	CA	Bacterial small subunit ribosomal RNA
4V55	AA	Bacterial small subunit ribosomal RNA
4WQ1	13	Bacterial small subunit ribosomal RNA
5EL6	1G	Bacterial small subunit ribosomal RNA
5J4B	1a	Bacterial small subunit ribosomal RNA
5UYK	A	Bacterial small subunit ribosomal RNA
6O97	2a	Bacterial small subunit ribosomal RNA
2F4V	A	Bacterial small subunit ribosomal RNA
3J29	N	Bacterial small subunit ribosomal RNA
4V51	AA	Bacterial small subunit ribosomal RNA
4V5C	AA	Bacterial small subunit ribosomal RNA
4V5P	CA	Bacterial small subunit ribosomal RNA
4V67	CA	Bacterial small subunit ribosomal RNA
5LMU	A	Bacterial small subunit ribosomal RNA
5NO2	A	Bacterial small subunit ribosomal RNA
6BY1	BA	Bacterial small subunit ribosomal RNA
6WD2	3	Bacterial small subunit ribosomal RNA
7O1C	AA	Bacterial small subunit ribosomal RNA
4DV1	A	Bacterial small subunit ribosomal RNA
4LFZ	QA	Bacterial small subunit ribosomal RNA
4V9S	AA	Bacterial small subunit ribosomal RNA
5HCQ	2a	Bacterial small subunit ribosomal RNA
5IB7	13	Bacterial small subunit ribosomal RNA
5WIT	1a	Bacterial small subunit ribosomal RNA
7OG4	AA	Bacterial small subunit ribosomal RNA
7PAH	5	Bacterial small subunit ribosomal RNA
4DV7	A	Bacterial small subunit ribosomal RNA
4NXM	A	Bacterial small subunit ribosomal RNA
4U24	AA	Bacterial small subunit ribosomal RNA
4V5M	AA	Bacterial small subunit ribosomal RNA
4V7W	CA	Bacterial small subunit ribosomal RNA
6WDM	3	Bacterial small subunit ribosomal RNA
7AF3	1	Bacterial small subunit ribosomal RNA
7RQ8	1a	Bacterial small subunit ribosomal RNA
7RQC	1a	Bacterial small subunit ribosomal RNA
1N33	A	Bacterial small subunit ribosomal RNA
4V5C	CA	Bacterial small subunit ribosomal RNA
4V7U	CA	Bacterial small subunit ribosomal RNA
6XZA	A1	Bacterial small subunit ribosomal RNA
6ZTM	AA	Bacterial small subunit ribosomal RNA
7NWW	2	Bacterial small subunit ribosomal RNA
7RQE	1a	Bacterial small subunit ribosomal RNA
3DG4	A	Bacterial small subunit ribosomal RNA
4V9P	FA	Bacterial small subunit ribosomal RNA
4WQR	13	Bacterial small subunit ribosomal RNA
4WT8	Ab	Bacterial small subunit ribosomal RNA
6AWD	A	Bacterial small subunit ribosomal RNA
6W6P	a	Bacterial small subunit ribosomal RNA
7MD7	1a	Bacterial small subunit ribosomal RNA
7PIS	5	Bacterial small subunit ribosomal RNA
4P6F	QA	Bacterial small subunit ribosomal RNA
4V89	AA	Bacterial small subunit ribosomal RNA
5AA0	BA	Bacterial small subunit ribosomal RNA
5EL6	13	Bacterial small subunit ribosomal RNA
5MY1	A	Bacterial small subunit ribosomal RNA
6TBV	16S1	Bacterial small subunit ribosomal RNA
7PJT	a	Bacterial small subunit ribosomal RNA
1VY6	CA	Bacterial small subunit ribosomal RNA
4V9B	CA	Bacterial small subunit ribosomal RNA
4V9K	AA	Bacterial small subunit ribosomal RNA
6BOH	A	Bacterial small subunit ribosomal RNA
6NTA	XA	Bacterial small subunit ribosomal RNA
7MSZ	a	Bacterial small subunit ribosomal RNA
7O5B	A	Bacterial small subunit ribosomal RNA
7P3K	A	Bacterial small subunit ribosomal RNA
7PO1	A	Bacterial small subunit ribosomal RNA
7U2H	2a	Bacterial small subunit ribosomal RNA
7V2N	A	Bacterial small subunit ribosomal RNA
4V8E	DA	Bacterial small subunit ribosomal RNA
4WT1	13	Bacterial small subunit ribosomal RNA
4WZO	1G	Bacterial small subunit ribosomal RNA
5W4K	2a	Bacterial small subunit ribosomal RNA
6ENJ	a	Bacterial small subunit ribosomal RNA
7NHN	a	Bacterial small subunit ribosomal RNA
3DG0	A	Bacterial small subunit ribosomal RNA
4V51	CA	Bacterial small subunit ribosomal RNA
4V5E	CA	Bacterial small subunit ribosomal RNA
4V63	AA	Bacterial small subunit ribosomal RNA
4V6D	AA	Bacterial small subunit ribosomal RNA
4V7M	AA	Bacterial small subunit ribosomal RNA
4V9M	AA	Bacterial small subunit ribosomal RNA
4V9O	HA	Bacterial small subunit ribosomal RNA
4Z8C	2a	Bacterial small subunit ribosomal RNA
6GSK	13	Bacterial small subunit ribosomal RNA
6ND6	1a	Bacterial small subunit ribosomal RNA
7N31	16	Bacterial small subunit ribosomal RNA
4V66	A1	Bacterial small subunit ribosomal RNA
4WRO	1G	Bacterial small subunit ribosomal RNA
4YZV	QA	Bacterial small subunit ribosomal RNA
5J4D	A	Bacterial small subunit ribosomal RNA
7D6Z	f	Bacterial small subunit ribosomal RNA
7MT2	a	Bacterial small subunit ribosomal RNA
7OOC	5	Bacterial small subunit ribosomal RNA
1HR0	A	Bacterial small subunit ribosomal RNA
1ML5	A	Bacterial small subunit ribosomal RNA
3J2C	N	Bacterial small subunit ribosomal RNA
4GKK	A	Bacterial small subunit ribosomal RNA
4V7C	AA	Bacterial small subunit ribosomal RNA
4V7X	AA	Bacterial small subunit ribosomal RNA
4YY3	A	Bacterial small subunit ribosomal RNA
5IBB	1G	Bacterial small subunit ribosomal RNA
6ERI	BA	Bacterial small subunit ribosomal RNA
6OXA	QA	Bacterial small subunit ribosomal RNA
6XGF	D	Bacterial small subunit ribosomal RNA
7P7T	a	Bacterial small subunit ribosomal RNA
7PJV	a	Bacterial small subunit ribosomal RNA
3JCE	a	Bacterial small subunit ribosomal RNA
4LFA	A	Bacterial small subunit ribosomal RNA
6B4V	A	Bacterial small subunit ribosomal RNA
6BOK	DB	Bacterial small subunit ribosomal RNA
6ZTL	AA	Bacterial small subunit ribosomal RNA
4V4Q	CA	Bacterial small subunit ribosomal RNA
4W29	CA	Bacterial small subunit ribosomal RNA
4WSM	1G	Bacterial small subunit ribosomal RNA
6N9F	1a	Bacterial small subunit ribosomal RNA
6S13	a	Bacterial small subunit ribosomal RNA
6UO1	1a	Bacterial small subunit ribosomal RNA
6WDE	3	Bacterial small subunit ribosomal RNA
7PH9	5	Bacterial small subunit ribosomal RNA
7PIO	5	Bacterial small subunit ribosomal RNA
7RQD	1a	Bacterial small subunit ribosomal RNA
1VY7	CA	Bacterial small subunit ribosomal RNA
4V5G	AA	Bacterial small subunit ribosomal RNA
4V7B	AA	Bacterial small subunit ribosomal RNA
4Z3S	2a	Bacterial small subunit ribosomal RNA
5CZP	QA	Bacterial small subunit ribosomal RNA
6FXC	Aa	Bacterial small subunit ribosomal RNA
7NAV	A	Bacterial small subunit ribosomal RNA
4V72	AA	Bacterial small subunit ribosomal RNA
4V8B	CA	Bacterial small subunit ribosomal RNA
4V8F	BA	Bacterial small subunit ribosomal RNA
5EL4	1G	Bacterial small subunit ribosomal RNA
7AFK	1	Bacterial small subunit ribosomal RNA
7UG7	16	Bacterial small subunit ribosomal RNA
4TUD	XA	Bacterial small subunit ribosomal RNA
4V4V	AA	Bacterial small subunit ribosomal RNA
4V5D	AA	Bacterial small subunit ribosomal RNA
4V9D	BA	Bacterial small subunit ribosomal RNA
4W2I	AA	Bacterial small subunit ribosomal RNA
5VP2	2a	Bacterial small subunit ribosomal RNA
5WNS	A	Bacterial small subunit ribosomal RNA
7K55	3	Bacterial small subunit ribosomal RNA
7L08	AA	Bacterial small subunit ribosomal RNA
7MSC	a	Bacterial small subunit ribosomal RNA
7ST2	3	Bacterial small subunit ribosomal RNA
4TUC	QA	Bacterial small subunit ribosomal RNA
4V68	AA	Bacterial small subunit ribosomal RNA
4V76	AA	Bacterial small subunit ribosomal RNA
4V85	AA	Bacterial small subunit ribosomal RNA
4YBB	BA	Bacterial small subunit ribosomal RNA
6Q98	2	Bacterial small subunit ribosomal RNA
6XE0	W	Bacterial small subunit ribosomal RNA
7BOE	A	Bacterial small subunit ribosomal RNA
4KHP	A	Bacterial small subunit ribosomal RNA
4NXN	A	Bacterial small subunit ribosomal RNA
4U27	CA	Bacterial small subunit ribosomal RNA
4V49	AA	Bacterial small subunit ribosomal RNA
5X8R	a	Bacterial small subunit ribosomal RNA
6GXO	a	Bacterial small subunit ribosomal RNA
6NUO	XA	Bacterial small subunit ribosomal RNA
6SPG	a	Bacterial small subunit ribosomal RNA
6UCQ	1a	Bacterial small subunit ribosomal RNA
6YS5	3	Bacterial small subunit ribosomal RNA
4V4T	AA	Bacterial small subunit ribosomal RNA
4V5F	AA	Bacterial small subunit ribosomal RNA
4V84	AA	Bacterial small subunit ribosomal RNA
4WSD	13	Bacterial small subunit ribosomal RNA
4XEJ	B16S	Bacterial small subunit ribosomal RNA
4Y4O	2a	Bacterial small subunit ribosomal RNA
5LZF	a	Bacterial small subunit ribosomal RNA
5O2R	a	Bacterial small subunit ribosomal RNA
7KGB	a	Bacterial small subunit ribosomal RNA
7V2Q	A	Bacterial small subunit ribosomal RNA
3JCJ	g	Bacterial small subunit ribosomal RNA
4OX9	A	Bacterial small subunit ribosomal RNA
4WF1	CA	Bacterial small subunit ribosomal RNA
4WU1	13	Bacterial small subunit ribosomal RNA
6CFL	1a	Bacterial small subunit ribosomal RNA
6VZ2	D	Bacterial small subunit ribosomal RNA
6WDD	3	Bacterial small subunit ribosomal RNA
6YTF	3	Bacterial small subunit ribosomal RNA
7PIR	5	Bacterial small subunit ribosomal RNA
4JI5	A	Bacterial small subunit ribosomal RNA
4U26	CA	Bacterial small subunit ribosomal RNA
4V8C	CA	Bacterial small subunit ribosomal RNA
5NDJ	1G	Bacterial small subunit ribosomal RNA
5VPO	QA	Bacterial small subunit ribosomal RNA
6GSJ	13	Bacterial small subunit ribosomal RNA
6YDW	AA	Bacterial small subunit ribosomal RNA
7DUH	A	Bacterial small subunit ribosomal RNA
7JT3	3	Bacterial small subunit ribosomal RNA
7PAK	5	Bacterial small subunit ribosomal RNA
4DV5	A	Bacterial small subunit ribosomal RNA
4V52	CA	Bacterial small subunit ribosomal RNA
4V6D	CA	Bacterial small subunit ribosomal RNA
4V6P	AA	Bacterial small subunit ribosomal RNA
4V8A	DA	Bacterial small subunit ribosomal RNA
4V8N	CA	Bacterial small subunit ribosomal RNA
5NP6	D	Bacterial small subunit ribosomal RNA
6CAP	A	Bacterial small subunit ribosomal RNA
6VU3	D	Bacterial small subunit ribosomal RNA
6YSU	a	Bacterial small subunit ribosomal RNA
7PHC	5	Bacterial small subunit ribosomal RNA
4V4S	AA	Bacterial small subunit ribosomal RNA
4V7X	CA	Bacterial small subunit ribosomal RNA
5F8K	2a	Bacterial small subunit ribosomal RNA
5VPO	XA	Bacterial small subunit ribosomal RNA
7K54	3	Bacterial small subunit ribosomal RNA
7P7S	a	Bacterial small subunit ribosomal RNA
2E5L	A	Bacterial small subunit ribosomal RNA
3DG5	A	Bacterial small subunit ribosomal RNA
4V4G	GA	Bacterial small subunit ribosomal RNA
4V9N	CA	Bacterial small subunit ribosomal RNA
5EL4	13	Bacterial small subunit ribosomal RNA
5J5B	AA	Bacterial small subunit ribosomal RNA
5V93	a	Bacterial small subunit ribosomal RNA
6XQD	2a	Bacterial small subunit ribosomal RNA
7NSP	a	Bacterial small subunit ribosomal RNA
4V54	CA	Bacterial small subunit ribosomal RNA
4V9O	DA	Bacterial small subunit ribosomal RNA
4YZV	XA	Bacterial small subunit ribosomal RNA
5J3C	XA	Bacterial small subunit ribosomal RNA
5O61	BA	Bacterial small subunit ribosomal RNA
7AZO	16SB	Bacterial small subunit ribosomal RNA
7S1J	C	Bacterial small subunit ribosomal RNA
7UNR	a	Bacterial small subunit ribosomal RNA
4V5P	AA	Bacterial small subunit ribosomal RNA
5IQR	2	Bacterial small subunit ribosomal RNA
6NUO	QA	Bacterial small subunit ribosomal RNA
7OIG	2	Bacterial small subunit ribosomal RNA
7OII	2	Bacterial small subunit ribosomal RNA
4V7T	AA	Bacterial small subunit ribosomal RNA
5DOX	1a	Bacterial small subunit ribosomal RNA
5E7K	1G	Bacterial small subunit ribosomal RNA
6FXC	Ba	Bacterial small subunit ribosomal RNA
6WNW	3	Bacterial small subunit ribosomal RNA
7RQB	2a	Bacterial small subunit ribosomal RNA
4KVB	A	Bacterial small subunit ribosomal RNA
4V6V	AA	Bacterial small subunit ribosomal RNA
4V9P	DA	Bacterial small subunit ribosomal RNA
4YBB	AA	Bacterial small subunit ribosomal RNA
5FDU	2a	Bacterial small subunit ribosomal RNA
5MMM	a	Bacterial small subunit ribosomal RNA
6OGG	3	Bacterial small subunit ribosomal RNA
6RW4	A	Bacterial small subunit ribosomal RNA
6VMI	AA	Bacterial small subunit ribosomal RNA
7AFO	A	Bacterial small subunit ribosomal RNA
7JQL	2a	Bacterial small subunit ribosomal RNA
4LNT	XA	Bacterial small subunit ribosomal RNA
5J5B	BA	Bacterial small subunit ribosomal RNA
6BOK	A	Bacterial small subunit ribosomal RNA
6XHX	2a	Bacterial small subunit ribosomal RNA
7PI9	5	Bacterial small subunit ribosomal RNA
4V55	CA	Bacterial small subunit ribosomal RNA
4V5L	AA	Bacterial small subunit ribosomal RNA
5E81	13	Bacterial small subunit ribosomal RNA
5U4I	a	Bacterial small subunit ribosomal RNA
6WDF	3	Bacterial small subunit ribosomal RNA
6ZSG	AA	Bacterial small subunit ribosomal RNA
7AFA	1	Bacterial small subunit ribosomal RNA
7KWG	a	Bacterial small subunit ribosomal RNA
7PHA	5	Bacterial small subunit ribosomal RNA
4V73	AA	Bacterial small subunit ribosomal RNA
4X66	A	Bacterial small subunit ribosomal RNA
5J7L	BA	Bacterial small subunit ribosomal RNA
5MRF	aa	Bacterial small subunit ribosomal RNA
6AWB	A	Bacterial small subunit ribosomal RNA
6GWT	a	Bacterial small subunit ribosomal RNA
6QNQ	13	Bacterial small subunit ribosomal RNA
6SPE	a	Bacterial small subunit ribosomal RNA
6XYW	2	Bacterial small subunit ribosomal RNA
7NBU	A	Bacterial small subunit ribosomal RNA
7S1I	C	Bacterial small subunit ribosomal RNA
4V5S	AA	Bacterial small subunit ribosomal RNA
4V5Y	AA	Bacterial small subunit ribosomal RNA
5IMR	A	Bacterial small subunit ribosomal RNA
5NO4	A	Bacterial small subunit ribosomal RNA
5WFS	a	Bacterial small subunit ribosomal RNA
7OT5	2	Bacterial small subunit ribosomal RNA
7P7Q	a	Bacterial small subunit ribosomal RNA
3J2C	O	Bacterial small subunit ribosomal RNA
4V8D	CA	Bacterial small subunit ribosomal RNA
6GZX	A4	Bacterial small subunit ribosomal RNA
6OF6	XA	Bacterial small subunit ribosomal RNA
6VWM	1	Bacterial small subunit ribosomal RNA
6ZTJ	AA	Bacterial small subunit ribosomal RNA
7RQA	2a	Bacterial small subunit ribosomal RNA
7ST7	3	Bacterial small subunit ribosomal RNA
3JA1	SA	Bacterial small subunit ribosomal RNA
4DR3	A	Bacterial small subunit ribosomal RNA
4V6F	CA	Bacterial small subunit ribosomal RNA
4WZD	13	Bacterial small subunit ribosomal RNA
7N1P	16	Bacterial small subunit ribosomal RNA
7NHL	a	Bacterial small subunit ribosomal RNA
7SSW	3	Bacterial small subunit ribosomal RNA
3J2D	N	Bacterial small subunit ribosomal RNA
4TUC	XA	Bacterial small subunit ribosomal RNA
4V5K	CA	Bacterial small subunit ribosomal RNA
4V9P	HA	Bacterial small subunit ribosomal RNA
5IT8	AA	Bacterial small subunit ribosomal RNA
5J91	AA	Bacterial small subunit ribosomal RNA
6OTR	XA	Bacterial small subunit ribosomal RNA
6VYW	D	Bacterial small subunit ribosomal RNA
6WD4	3	Bacterial small subunit ribosomal RNA
7JSS	3	Bacterial small subunit ribosomal RNA
7MD7	2a	Bacterial small subunit ribosomal RNA
3JBU	A	Bacterial small subunit ribosomal RNA
5U9G	A	Bacterial small subunit ribosomal RNA
